,amon,brp,cac,Cadps,Fife,Liprin-alpha,Pdf,Rab27,Rab3,Rbp,RhoGAP100F,Rim,Snap25,Syb,Syt1,Syt12,Syt14,Syt4,Syt7,Sytalpha,Sytbeta,Syx13,Syx16,Syx17,Syx18,Syx4,Syx5,Syx6,Syx7,Syx8,unc-13,date,experiment,exp_time
20190309_CLK856_LD_ZT02_AR08_ACAGAC,12,17,23,6,10,3,132,0,16,19,15,35,11,0,83,0,0,17,33,0,15,1,0,0,1,1,0,1,1,0,91,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR08_ACAGGA,41,64,55,34,26,9,160,1,54,81,27,45,41,0,171,2,1,34,43,4,10,5,0,1,0,1,1,2,10,2,92,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR08_ACAGTG,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR08_ACCAAC,94,24,20,40,36,6,2262,0,38,17,39,47,8,0,93,0,0,15,9,3,30,0,4,1,0,0,0,8,12,0,76,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR08_ACCAGA,58,7,33,19,29,21,122,0,15,29,29,24,20,0,114,0,0,20,11,4,7,1,0,1,0,1,1,1,3,0,94,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR08_ACCATG,27,16,18,11,7,6,87,0,6,13,8,15,3,0,55,0,0,21,11,6,7,0,1,1,0,1,1,4,0,2,71,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR08_ACGTAC,0,0,0,1,0,0,12,0,2,1,0,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR08_ACGTGA,64,19,32,17,82,18,1524,0,77,31,81,57,6,0,105,0,1,34,19,7,105,0,5,0,0,1,2,2,4,0,84,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR08_ACGTTG,5,7,21,24,41,6,89,0,17,15,6,28,10,0,66,0,0,25,19,1,10,0,0,2,0,0,0,1,0,0,73,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR08_ACTCAC,10,7,29,20,48,11,69,1,5,8,5,8,10,0,65,0,6,15,17,0,6,0,0,2,0,0,0,3,1,0,46,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR08_ACTCGA,3,2,1,2,2,0,18,0,2,7,0,9,3,1,8,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,10,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR08_ACTCTG,0,0,1,0,0,0,8,0,0,1,1,0,2,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR08_AGACAG,19,11,15,17,23,2,1255,0,23,13,3,43,8,0,36,0,1,17,4,5,30,0,0,1,0,0,1,1,0,0,50,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR08_AGACCA,1,4,4,7,6,0,31,0,6,1,1,9,13,0,31,0,2,0,3,0,1,0,0,1,0,0,0,0,0,0,10,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR08_AGACTC,1,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR08_AGCTAG,1,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR08_AGCTCA,2,2,2,1,4,1,112,0,4,1,2,3,1,0,6,0,0,0,1,1,2,0,0,0,0,0,0,1,0,0,13,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR08_AGCTTC,3,3,1,0,2,0,24,1,2,5,9,4,2,0,6,0,0,1,0,0,2,0,0,0,0,0,0,0,2,1,21,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR08_AGGAAG,34,18,13,16,13,7,102,0,15,15,20,17,5,0,71,0,0,24,27,8,8,0,0,2,2,0,1,1,1,0,66,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR08_AGGACA,13,15,34,34,10,15,85,0,22,26,13,32,37,0,135,0,0,10,32,8,5,0,0,0,0,0,0,8,0,0,62,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR08_AGGATC,43,22,20,9,11,13,113,0,20,13,22,20,9,0,119,0,0,11,24,14,24,0,0,0,0,0,2,2,0,1,62,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR08_AGTGAG,27,8,31,11,4,1,49,0,10,6,4,32,6,0,68,0,0,10,11,0,1,0,0,1,0,0,0,6,0,0,47,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR08_AGTGCA,34,15,28,7,8,0,82,1,9,31,18,23,2,0,68,1,0,13,8,3,5,0,0,0,0,0,1,1,0,0,28,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR08_AGTGTC,128,17,33,22,32,11,1646,1,58,15,18,42,7,1,99,1,3,23,14,4,101,0,1,0,0,0,1,1,1,0,67,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR08_CAACAG,19,26,25,30,8,9,155,0,22,25,22,78,3,0,95,0,3,31,7,4,9,1,2,0,1,1,0,2,0,0,85,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR08_CAACCA,0,1,7,1,0,0,11,0,0,0,0,3,1,0,6,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,7,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR08_CAACTC,9,13,38,6,4,2,86,0,4,15,24,32,12,0,86,1,0,15,21,9,2,0,0,1,0,0,0,2,0,0,59,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR08_CACTAG,2,2,2,0,0,1,6,0,0,7,0,2,1,0,3,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,2,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR08_CACTCA,0,3,3,2,4,3,10,0,7,2,2,7,0,0,19,0,0,9,1,0,5,0,0,0,0,0,0,1,0,0,1,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR08_CACTTC,38,26,23,57,23,4,173,0,27,23,11,38,18,0,183,1,0,12,25,4,14,2,1,1,4,1,0,4,2,2,98,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR08_CAGAAG,15,9,27,16,12,3,95,1,3,7,12,24,13,0,45,0,0,6,8,3,5,1,0,0,0,0,0,0,0,0,66,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR08_CAGACA,6,1,14,3,7,1,43,0,3,6,4,22,10,0,41,1,0,3,6,0,6,0,0,5,0,0,0,0,4,0,26,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR08_CAGATC,9,4,10,2,3,0,18,0,3,3,1,1,0,0,3,0,0,2,3,0,0,0,0,1,0,0,0,0,0,1,13,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR08_CATGAG,15,9,5,2,8,0,90,0,23,26,6,10,1,0,31,0,0,5,6,1,4,0,0,0,0,0,0,0,0,0,44,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR08_CATGCA,16,14,33,26,14,9,105,0,14,9,3,25,32,0,69,1,1,21,32,2,17,3,0,3,0,0,0,5,0,0,81,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR08_CATGTC,1,0,1,0,2,0,3,0,1,0,0,2,1,0,13,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,1,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR08_CTAGAC,3,0,3,0,2,0,20,0,4,4,1,8,0,0,6,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,39,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR08_CTAGGA,5,5,2,3,15,2,34,0,3,12,4,5,4,0,26,0,0,2,8,3,16,0,1,0,0,0,0,0,0,0,20,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR08_CTAGTG,1,0,0,1,1,0,12,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR08_CTCAAC,15,8,4,19,8,5,115,0,8,11,5,19,4,0,23,2,0,6,7,0,15,0,0,0,0,0,0,0,2,0,22,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR08_CTCAGA,5,1,10,18,2,2,49,0,1,10,9,6,4,0,39,0,0,0,2,0,3,1,0,0,0,0,0,1,0,0,18,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR08_CTCATG,44,15,11,6,1,3,64,0,24,32,6,26,11,0,55,3,0,11,23,1,8,0,0,1,0,0,1,0,1,2,36,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR08_CTGTAC,119,17,38,15,139,24,1826,0,61,21,36,74,9,0,136,0,2,39,9,14,131,0,1,3,0,2,0,3,1,0,131,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR08_CTGTGA,16,4,5,1,6,3,327,0,4,5,10,11,2,0,15,0,0,4,7,0,10,0,0,0,0,1,0,0,0,0,35,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR08_CTGTTG,1,0,0,0,0,0,6,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR08_CTTCAC,59,16,22,18,73,16,153,0,33,24,27,40,14,0,115,1,0,23,14,10,8,0,0,1,0,0,0,1,1,0,112,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR08_CTTCGA,1,1,4,3,2,0,22,0,1,0,2,3,2,0,5,0,0,2,2,1,2,0,0,0,0,0,0,0,0,0,6,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR08_CTTCTG,13,15,16,5,51,11,61,4,16,19,7,24,5,0,73,1,0,21,3,5,19,2,0,2,0,0,1,1,0,0,47,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR08_GAAGAC,13,3,3,5,4,1,63,0,7,3,1,18,1,0,16,0,0,10,9,2,4,0,0,0,0,0,0,0,0,0,15,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR08_GAAGGA,4,8,9,11,20,3,58,0,15,7,14,36,28,0,62,0,0,7,16,3,0,0,0,0,0,1,0,4,8,0,50,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR08_GAAGTG,8,6,14,5,9,7,42,0,2,4,1,7,7,0,43,0,0,10,16,2,3,0,0,0,0,0,0,1,1,0,32,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR08_GACAAC,9,2,2,2,6,2,44,0,9,4,2,3,0,0,11,0,0,1,1,0,2,0,0,0,0,0,0,0,1,0,6,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR08_GACAGA,35,8,9,13,15,2,76,0,9,27,12,32,16,0,97,0,0,13,14,0,6,0,0,6,0,1,0,8,1,0,48,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR08_GACATG,25,6,12,3,9,1,1077,0,12,8,2,5,2,0,14,0,0,8,11,9,32,0,0,0,1,0,0,0,6,0,33,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR08_GAGTAC,4,2,6,3,2,4,43,0,0,4,1,5,1,0,14,0,0,4,7,0,3,0,0,0,0,0,0,1,0,0,13,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR08_GAGTGA,13,1,1,0,1,5,20,0,1,1,0,3,0,0,8,0,0,1,1,4,8,0,0,0,0,0,0,1,0,0,12,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR08_GAGTTG,1,1,0,1,10,0,13,0,1,9,0,3,1,0,6,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,7,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR08_GATCAC,3,12,29,43,12,5,93,0,18,21,3,20,15,0,77,0,0,13,30,0,12,7,0,0,0,0,0,2,0,0,37,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR08_GATCGA,18,6,7,5,37,3,57,0,10,13,4,3,1,0,52,1,0,10,4,3,4,0,0,0,0,0,0,0,2,2,22,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR08_GATCTG,17,7,23,17,22,10,120,0,14,13,10,34,9,1,60,0,0,36,28,11,24,1,0,2,0,3,1,4,0,0,104,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR08_GTACAG,1,2,1,0,2,1,23,0,5,0,0,5,1,0,7,0,0,3,3,1,3,1,0,0,0,1,1,0,0,0,3,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR08_GTACCA,10,12,29,24,25,4,90,0,15,12,10,35,25,0,92,0,0,15,20,2,10,0,0,0,0,0,1,2,0,0,109,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR08_GTACTC,6,9,20,5,12,7,46,1,9,15,7,16,16,0,38,1,0,20,16,0,1,0,0,0,0,0,0,0,0,0,22,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR08_GTCTAG,2,10,1,2,2,1,32,0,1,2,0,9,9,0,19,1,0,3,2,0,1,0,0,0,0,0,0,0,1,0,13,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR08_GTCTCA,28,30,45,16,15,22,146,0,37,17,14,57,42,0,180,0,1,61,36,3,11,0,0,2,0,0,4,11,9,0,151,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR08_GTCTTC,37,10,13,3,14,8,2285,0,13,9,16,62,4,0,40,0,0,21,11,5,22,0,0,8,0,0,1,0,0,0,25,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR08_GTGAAG,10,5,8,6,10,4,86,0,9,6,12,13,4,0,40,0,0,9,5,0,12,1,0,0,0,0,0,1,0,0,65,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR08_GTGACA,2,0,16,0,0,1,15,0,0,0,0,0,0,0,7,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,3,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR08_GTGATC,23,9,25,15,14,4,91,0,10,9,6,23,11,0,52,2,0,19,21,1,21,1,0,1,0,0,0,0,0,0,35,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR08_GTTGAG,65,29,38,18,43,19,134,0,36,24,20,27,10,0,72,8,1,14,7,2,2,0,0,0,0,2,0,1,2,0,109,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR08_GTTGCA,7,16,26,32,15,3,76,0,13,22,5,9,14,0,58,0,0,9,12,0,11,0,0,0,0,0,2,2,0,0,60,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR08_GTTGTC,26,16,28,6,15,8,158,0,35,30,5,30,2,0,78,2,0,14,15,4,12,1,0,1,0,0,0,2,0,0,49,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR08_TCACAG,57,45,34,31,39,7,204,0,35,26,25,83,16,0,110,0,3,33,23,9,13,3,1,0,0,1,1,9,7,0,132,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR08_TCACCA,1,1,3,1,6,0,20,0,2,4,0,3,3,0,15,0,0,5,7,0,1,0,0,0,0,0,0,0,0,0,11,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR08_TCACTC,29,6,12,1,5,7,65,0,8,9,6,7,7,0,24,0,0,7,27,4,2,0,0,0,0,0,0,0,1,0,29,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR08_TCCTAG,5,5,8,2,5,6,53,0,3,3,3,13,6,0,27,0,0,6,9,0,0,0,0,2,0,0,0,0,0,0,27,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR08_TCCTCA,16,29,54,44,12,3,155,0,56,18,30,57,73,0,182,0,1,37,57,7,13,3,0,2,3,1,0,1,5,0,109,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR08_TCCTTC,40,42,62,62,41,11,374,0,41,42,28,81,41,0,242,0,0,51,48,2,20,4,0,5,0,0,1,7,6,0,148,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR08_TCGAAG,18,3,2,1,5,2,51,0,1,3,6,6,3,0,20,0,0,2,9,0,1,0,0,0,0,0,0,1,1,0,19,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR08_TCGACA,56,8,32,10,16,3,1371,0,19,14,31,32,2,0,65,0,0,10,12,14,15,0,5,1,0,1,1,6,0,0,51,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR08_TCGATC,30,11,9,13,41,4,97,0,14,8,3,20,2,0,36,0,0,5,9,6,10,0,0,1,0,0,0,5,1,0,45,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR08_TCTGAG,11,12,14,1,4,1,46,0,3,1,8,14,19,0,54,0,0,3,3,2,8,2,0,0,0,0,0,0,1,0,35,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR08_TCTGCA,42,15,29,20,99,11,119,0,27,25,17,58,8,0,73,1,7,17,18,11,11,0,3,1,0,0,1,5,3,0,54,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR08_TCTGTC,12,10,2,4,4,6,44,0,8,5,4,6,3,0,25,0,0,16,14,4,3,0,0,0,0,0,0,1,1,0,11,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR08_TGAGAC,18,7,10,5,20,2,58,1,14,6,4,13,2,0,10,0,0,1,3,1,2,0,0,0,0,1,0,2,0,0,19,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR08_TGAGGA,5,3,15,16,20,0,36,0,37,12,2,19,4,0,66,0,0,14,4,0,8,3,0,0,0,0,0,6,0,0,25,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR08_TGAGTG,11,14,14,13,15,18,100,0,8,25,8,26,21,0,71,1,0,11,27,2,4,0,6,1,0,1,0,2,7,0,51,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR08_TGCAAC,2,6,6,1,6,0,51,0,2,8,6,15,3,0,39,0,0,7,0,1,1,0,0,0,0,0,2,2,1,0,22,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR08_TGCAGA,4,19,25,20,49,7,196,1,10,30,11,34,10,0,126,0,0,27,25,0,22,5,0,0,2,0,0,2,3,0,79,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR08_TGCATG,9,1,4,3,4,0,45,0,3,4,5,8,3,0,10,0,0,2,0,1,7,0,0,0,0,0,0,0,0,0,12,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR08_TGGTAC,45,9,13,10,17,3,110,0,13,27,8,38,7,0,49,1,0,11,13,0,10,0,1,0,0,0,0,1,0,0,86,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR08_TGGTGA,0,0,0,1,0,0,1,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR08_TGGTTG,0,0,1,0,0,0,8,0,1,0,0,9,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR08_TGTCAC,3,4,12,2,10,2,56,0,4,3,2,12,2,0,14,0,0,4,4,0,8,0,0,1,0,0,0,0,0,0,25,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR08_TGTCGA,19,13,11,12,5,2,40,0,15,3,7,18,3,0,26,0,0,7,17,1,5,0,0,0,1,0,0,2,7,0,40,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR08_TGTCTG,36,14,32,15,58,4,142,1,14,26,26,46,4,2,68,0,1,38,17,9,91,0,0,0,0,0,0,7,0,2,44,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR12_ACAGAC,10,7,6,8,11,0,41,0,8,11,3,19,5,0,35,2,0,5,9,0,3,0,0,0,0,0,0,0,1,1,29,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR12_ACAGGA,5,23,17,16,9,1,23,0,16,14,7,29,5,0,32,1,0,13,11,0,0,0,0,0,0,0,1,9,0,0,38,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR12_ACAGTG,3,4,3,8,5,0,20,0,4,6,1,4,2,0,10,1,0,3,8,0,0,0,0,0,0,0,1,0,2,0,18,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR12_ACCAAC,19,14,18,43,18,12,69,0,23,9,12,36,5,0,83,0,0,22,13,0,7,1,0,1,0,0,0,5,0,0,92,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR12_ACCAGA,23,12,22,5,7,2,27,0,7,7,6,17,5,0,48,0,0,9,6,2,0,0,0,0,0,0,0,1,1,0,36,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR12_ACCATG,24,24,19,12,34,7,71,0,8,26,12,36,8,0,85,0,1,22,7,3,1,0,0,1,0,0,3,2,2,0,61,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR12_ACGTAC,158,35,39,35,44,25,150,0,54,45,14,68,13,0,191,1,0,107,55,9,54,8,2,4,1,0,3,9,11,2,136,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR12_ACGTGA,10,17,18,16,23,3,67,0,18,27,8,43,19,0,101,3,1,27,21,0,6,0,0,0,0,0,0,0,0,0,81,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR12_ACGTTG,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR12_ACTCAC,2,4,5,1,3,0,7,0,1,0,0,5,0,0,4,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,5,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR12_ACTCGA,93,10,14,3,17,6,1299,0,22,5,24,41,2,0,41,0,0,18,9,3,28,1,0,4,0,0,2,1,1,1,21,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR12_ACTCTG,4,4,10,9,15,1,23,0,14,8,3,27,7,0,41,3,0,16,12,0,8,2,0,1,0,0,0,0,0,0,28,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR12_AGACAG,1,1,8,6,6,1,19,0,5,2,9,6,2,0,7,0,0,8,4,2,0,0,0,0,0,0,0,0,0,0,18,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR12_AGACCA,48,27,17,7,16,4,79,0,9,6,17,35,4,0,84,0,1,6,15,1,16,0,0,0,1,0,0,5,0,0,77,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR12_AGACTC,0,0,1,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR12_AGCTAG,0,1,0,0,0,0,3,0,0,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR12_AGCTCA,20,28,17,16,21,4,53,2,21,12,3,37,17,0,76,0,1,17,20,11,13,1,0,1,0,0,4,1,10,2,59,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR12_AGCTTC,3,15,18,8,16,1,26,0,6,14,16,11,15,0,99,0,2,16,4,0,4,0,0,0,0,1,0,0,2,0,32,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR12_AGGAAG,0,7,2,3,5,0,16,0,11,2,4,10,8,0,13,4,0,7,1,3,1,0,1,0,0,0,0,0,2,0,22,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR12_AGGACA,8,12,20,14,7,0,29,1,3,12,6,6,7,0,37,5,0,15,9,0,5,0,0,0,0,0,0,0,0,0,33,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR12_AGGATC,31,4,6,2,3,0,16,0,4,6,11,9,6,0,62,0,1,21,4,0,6,0,0,0,0,1,0,0,3,3,33,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR12_AGTGAG,1,3,10,3,6,0,14,2,0,4,0,15,1,0,22,0,0,7,6,0,5,0,0,0,0,0,0,0,1,0,23,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR12_AGTGCA,1,0,2,5,1,0,13,0,3,9,0,2,7,0,30,1,0,2,0,0,3,0,0,0,0,0,0,0,0,0,3,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR12_AGTGTC,1,0,0,3,3,0,21,0,4,1,2,1,3,0,9,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR12_CAACAG,12,10,13,13,3,3,59,0,12,16,3,17,5,0,83,0,2,14,10,0,6,0,0,0,0,0,0,1,1,0,48,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR12_CAACCA,1,7,10,7,1,0,22,0,1,6,3,4,4,0,30,0,0,9,6,0,5,1,0,0,0,0,0,0,0,0,16,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR12_CAACTC,2,10,0,3,13,0,24,0,5,10,1,6,0,0,33,0,0,5,4,1,0,0,1,0,0,0,0,1,0,3,31,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR12_CACTAG,1,3,0,0,2,0,2,0,1,0,0,1,0,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0,0,0,1,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR12_CACTCA,12,3,13,8,2,1,54,0,11,15,9,22,1,0,31,1,1,8,6,2,7,0,0,0,0,0,0,1,6,0,48,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR12_CACTTC,2,1,0,0,1,0,16,0,1,4,1,4,1,0,5,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,5,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR12_CAGAAG,148,3,18,9,31,1,1581,0,64,14,43,76,3,0,77,0,4,45,10,7,75,0,0,0,1,0,0,1,0,0,46,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR12_CAGACA,1,1,0,1,2,0,4,0,0,0,1,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR12_CAGATC,1,5,7,20,1,0,22,1,3,10,4,15,10,0,18,0,0,12,12,0,2,0,0,0,0,0,0,0,0,0,28,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR12_CATGAG,14,19,10,13,37,0,47,0,14,15,8,21,8,0,82,0,0,30,11,1,5,0,0,5,2,0,0,0,6,0,53,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR12_CATGCA,2,0,0,1,1,1,9,0,0,1,0,4,0,1,4,1,0,1,2,0,0,0,0,0,0,0,0,1,0,0,2,2019-03-09,LD,ZT02
20190309_CLK856_LD_ZT02_AR12_CATGTC,1,3,1,0,0,0,11,0,0,2,1,7,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,4,2019-03-09,LD,ZT02
