,amon,brp,cac,Cadps,Fife,Liprin-alpha,Pdf,Rab27,Rab3,Rbp,RhoGAP100F,Rim,Snap25,Syb,Syt1,Syt12,Syt14,Syt4,Syt7,Sytalpha,Sytbeta,Syx13,Syx16,Syx17,Syx18,Syx4,Syx5,Syx6,Syx7,Syx8,unc-13,date,experiment,exp_time
20190228_CLK856_LD_ZT10_AR03_ACTCGA,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-02-28,LD,ZT10
20190228_CLK856_LD_ZT10_AR03_ACTCTG,20,12,25,16,13,10,5,1,32,17,15,8,9,0,74,1,0,34,14,8,16,0,1,0,0,0,3,1,1,0,72,2019-02-28,LD,ZT10
20190228_CLK856_LD_ZT10_AR03_AGACAG,1,9,16,12,3,1,9,1,7,7,2,13,5,0,19,0,0,0,4,1,6,0,0,0,2,0,7,0,0,0,24,2019-02-28,LD,ZT10
20190228_CLK856_LD_ZT10_AR03_AGACCA,14,2,16,8,17,0,609,1,8,5,9,23,3,0,18,0,0,11,1,1,17,0,0,0,0,0,3,6,0,1,10,2019-02-28,LD,ZT10
20190228_CLK856_LD_ZT10_AR03_AGACTC,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2019-02-28,LD,ZT10
20190228_CLK856_LD_ZT10_AR03_AGCTAG,1,0,0,1,2,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2019-02-28,LD,ZT10
20190228_CLK856_LD_ZT10_AR03_AGCTCA,1,4,6,6,1,0,4,0,2,1,7,4,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,15,2019-02-28,LD,ZT10
20190228_CLK856_LD_ZT10_AR03_AGCTTC,10,0,4,9,4,0,549,0,8,3,5,4,0,1,7,0,0,3,6,0,13,0,0,0,0,0,0,1,4,0,11,2019-02-28,LD,ZT10
20190228_CLK856_LD_ZT10_AR03_AGGAAG,0,3,1,1,1,0,2,0,0,0,0,5,0,0,8,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,7,2019-02-28,LD,ZT10
20190228_CLK856_LD_ZT10_AR03_AGGACA,5,10,17,12,8,2,4,0,6,19,6,12,15,0,42,0,0,14,25,0,2,0,0,0,0,0,0,2,3,0,46,2019-02-28,LD,ZT10
