,DIP-gamma,DIP-beta,DIP-delta,DIP-theta,Idents,date,experiment,exp_time
20190001_CLK856_DD_CT14_AR04_CACTTC,0,1,2,0,12:LNd,2019-01-01,DD,CT14
20190001_CLK856_DD_CT14_AR04_CATGCA,1,9,1,1,3:DN1a,2019-01-01,DD,CT14
20190001_CLK856_DD_CT14_AR04_CTGTGA,1,3,0,1,3:DN1a,2019-01-01,DD,CT14
20190001_CLK856_DD_CT14_AR04_CTTCAC,2,1,7,2,14:DN3,2019-01-01,DD,CT14
20190001_CLK856_DD_CT14_AR04_CTTCGA,0,0,0,0,20:DN3,2019-01-01,DD,CT14
20190001_CLK856_DD_CT14_AR04_GAAGAC,0,1,1,0,6:DN1p,2019-01-01,DD,CT14
20190001_CLK856_DD_CT14_AR04_GACAGA,0,1,0,2,14:DN3,2019-01-01,DD,CT14
20190001_CLK856_DD_CT14_AR04_GATCAC,0,0,0,1,18:DN1p,2019-01-01,DD,CT14
20190001_CLK856_DD_CT14_AR04_GATCGA,0,0,0,1,19:DN2,2019-01-01,DD,CT14
20190001_CLK856_DD_CT14_AR04_GTCTAG,0,0,0,0,29:LPN,2019-01-01,DD,CT14
20190001_CLK856_DD_CT14_AR04_GTCTTC,1,6,0,0,3:DN1a,2019-01-01,DD,CT14
20190001_CLK856_DD_CT14_AR04_GTGAAG,0,0,1,4,6:DN1p,2019-01-01,DD,CT14
20190001_CLK856_DD_CT14_AR04_GTGACA,0,0,0,3,7:DN1p,2019-01-01,DD,CT14
20190001_CLK856_DD_CT14_AR04_GTGATC,0,1,0,0,29:LPN,2019-01-01,DD,CT14
20190001_CLK856_DD_CT14_AR04_GTTGCA,0,0,3,0,9:LNd_NPF,2019-01-01,DD,CT14
20190001_CLK856_DD_CT14_AR04_TCACCA,0,0,0,6,19:DN2,2019-01-01,DD,CT14
20190001_CLK856_DD_CT14_AR04_TCACTC,2,0,1,2,19:DN2,2019-01-01,DD,CT14
20190001_CLK856_DD_CT14_AR04_TCCTAG,0,1,4,0,8:LN_ITP,2019-01-01,DD,CT14
20190001_CLK856_DD_CT14_AR04_TCGACA,1,0,0,3,7:DN1p,2019-01-01,DD,CT14
20190001_CLK856_DD_CT14_AR04_TCGATC,2,0,2,0,4:DN1p,2019-01-01,DD,CT14
20190001_CLK856_DD_CT14_AR04_TGAGAC,0,20,1,1,3:DN1a,2019-01-01,DD,CT14
20190001_CLK856_DD_CT14_AR04_TGAGGA,0,1,3,1,2:s_LNv,2019-01-01,DD,CT14
20190001_CLK856_DD_CT14_AR04_TGCAAC,1,1,1,0,25:l_LNv,2019-01-01,DD,CT14
20190001_CLK856_DD_CT14_AR04_TGCAGA,0,1,0,1,6:DN1p,2019-01-01,DD,CT14
20190001_CLK856_DD_CT14_AR04_TGGTAC,0,0,0,1,1:DN1p_CNMa,2019-01-01,DD,CT14
20190001_CLK856_DD_CT14_AR04_TGTCGA,1,1,2,0,2:s_LNv,2019-01-01,DD,CT14
20190702_CLK856_DD_CT14_AR17_ACCAAC,0,0,0,0,18:DN1p,2019-07-02,DD,CT14
20190702_CLK856_DD_CT14_AR17_AGCTCA,0,0,0,0,1:DN1p_CNMa,2019-07-02,DD,CT14
20190702_CLK856_DD_CT14_AR17_AGGACA,0,0,0,0,1:DN1p_CNMa,2019-07-02,DD,CT14
20190702_CLK856_DD_CT14_AR17_CACTCA,0,0,0,0,5:LNd_Trissin,2019-07-02,DD,CT14
20190702_CLK856_DD_CT14_AR17_CACTTC,0,0,0,0,6:DN1p,2019-07-02,DD,CT14
20190702_CLK856_DD_CT14_AR17_CTAGTG,0,0,6,0,5:LNd_Trissin,2019-07-02,DD,CT14
20190702_CLK856_DD_CT14_AR17_CTCATG,0,0,0,0,18:DN1p,2019-07-02,DD,CT14
20190702_CLK856_DD_CT14_AR17_CTGTAC,0,0,0,0,7:DN1p,2019-07-02,DD,CT14
20190702_CLK856_DD_CT14_AR17_CTTCGA,2,0,3,0,14:DN3,2019-07-02,DD,CT14
20190702_CLK856_DD_CT14_AR17_CTTCTG,0,0,0,1,2:s_LNv,2019-07-02,DD,CT14
20190702_CLK856_DD_CT14_AR17_GACAAC,3,0,6,0,2:s_LNv,2019-07-02,DD,CT14
20190702_CLK856_DD_CT14_AR17_GAGTAC,0,0,0,1,12:LNd,2019-07-02,DD,CT14
20190702_CLK856_DD_CT14_AR17_GTGATC,0,0,0,1,2:s_LNv,2019-07-02,DD,CT14
20190702_CLK856_DD_CT14_AR17_GTTGTC,0,0,5,0,8:LN_ITP,2019-07-02,DD,CT14
20190702_CLK856_DD_CT14_AR17_TCACAG,0,0,0,1,6:DN1p,2019-07-02,DD,CT14
20190702_CLK856_DD_CT14_AR17_TCACCA,0,0,0,3,2:s_LNv,2019-07-02,DD,CT14
20190702_CLK856_DD_CT14_AR17_TGAGGA,0,0,1,0,1:DN1p_CNMa,2019-07-02,DD,CT14
20190702_CLK856_DD_CT14_AR17_TGCATG,0,0,0,0,1:DN1p_CNMa,2019-07-02,DD,CT14
20190702_CLK856_DD_CT14_AR17_TGGTAC,0,0,0,0,15:DN1p_CNMa,2019-07-02,DD,CT14
20190702_CLK856_DD_CT14_AR18_ACCATG,0,0,0,4,7:DN1p,2019-07-02,DD,CT14
20190702_CLK856_DD_CT14_AR18_ACGTTG,0,0,0,3,7:DN1p,2019-07-02,DD,CT14
20190702_CLK856_DD_CT14_AR18_ACTCGA,5,0,0,0,3:DN1a,2019-07-02,DD,CT14
20190702_CLK856_DD_CT14_AR18_CAACAG,0,0,0,0,19:DN2,2019-07-02,DD,CT14
20190702_CLK856_DD_CT14_AR18_CTTCAC,0,0,10,0,8:LN_ITP,2019-07-02,DD,CT14
20190702_CLK856_DD_CT14_AR18_GACATG,0,0,0,0,1:DN1p_CNMa,2019-07-02,DD,CT14
20190702_CLK856_DD_CT14_AR18_GATCAC,0,0,0,0,2:s_LNv,2019-07-02,DD,CT14
20190702_CLK856_DD_CT14_AR18_GATCTG,0,0,0,0,8:LN_ITP,2019-07-02,DD,CT14
20190702_CLK856_DD_CT14_AR18_GTACAG,0,0,0,0,1:DN1p_CNMa,2019-07-02,DD,CT14
20190702_CLK856_DD_CT14_AR18_GTACCA,0,1,1,0,3:DN1a,2019-07-02,DD,CT14
20190702_CLK856_DD_CT14_AR18_GTCTTC,0,3,0,0,2:s_LNv,2019-07-02,DD,CT14
20190702_CLK856_DD_CT14_AR18_GTGATC,0,0,0,0,15:DN1p_CNMa,2019-07-02,DD,CT14
20190702_CLK856_DD_CT14_AR18_TGGTAC,9,0,0,1,7:DN1p,2019-07-02,DD,CT14
20190702_CLK856_DD_CT14_AR19_ACGTTG,1,0,0,0,2:s_LNv,2019-07-02,DD,CT14
20190702_CLK856_DD_CT14_AR19_AGCTCA,4,1,0,0,1:DN1p_CNMa,2019-07-02,DD,CT14
20190702_CLK856_DD_CT14_AR19_AGCTTC,0,0,0,2,15:DN1p_CNMa,2019-07-02,DD,CT14
20190702_CLK856_DD_CT14_AR19_AGGACA,0,0,2,0,5:LNd_Trissin,2019-07-02,DD,CT14
20190702_CLK856_DD_CT14_AR19_AGGATC,2,1,0,0,2:s_LNv,2019-07-02,DD,CT14
20190702_CLK856_DD_CT14_AR19_CAACAG,0,0,0,0,6:DN1p,2019-07-02,DD,CT14
20190702_CLK856_DD_CT14_AR19_CATGCA,0,0,1,0,5:LNd_Trissin,2019-07-02,DD,CT14
20190702_CLK856_DD_CT14_AR19_CTAGAC,0,0,0,0,12:LNd,2019-07-02,DD,CT14
20190702_CLK856_DD_CT14_AR19_CTGTGA,0,0,0,0,1:DN1p_CNMa,2019-07-02,DD,CT14
20190702_CLK856_DD_CT14_AR19_CTTCAC,0,0,0,0,8:LN_ITP,2019-07-02,DD,CT14
20190702_CLK856_DD_CT14_AR19_GACATG,2,10,0,0,2:s_LNv,2019-07-02,DD,CT14
20190702_CLK856_DD_CT14_AR19_GATCAC,0,8,0,0,14:DN3,2019-07-02,DD,CT14
20190702_CLK856_DD_CT14_AR19_GATCGA,0,0,0,0,5:LNd_Trissin,2019-07-02,DD,CT14
20190702_CLK856_DD_CT14_AR19_GTACTC,1,0,0,0,5:LNd_Trissin,2019-07-02,DD,CT14
20190702_CLK856_DD_CT14_AR19_TCACTC,1,0,0,0,2:s_LNv,2019-07-02,DD,CT14
20190702_CLK856_DD_CT14_AR19_TCCTTC,0,0,0,0,12:LNd,2019-07-02,DD,CT14
20190702_CLK856_DD_CT14_AR19_TGAGAC,0,0,0,3,15:DN1p_CNMa,2019-07-02,DD,CT14
20190702_CLK856_DD_CT14_AR19_TGCAAC,0,0,1,0,7:DN1p,2019-07-02,DD,CT14
20190702_CLK856_DD_CT14_AR20_ACCAGA,1,0,0,0,1:DN1p_CNMa,2019-07-02,DD,CT14
20190702_CLK856_DD_CT14_AR20_ACCATG,0,2,8,0,5:LNd_Trissin,2019-07-02,DD,CT14
20190702_CLK856_DD_CT14_AR20_ACGTTG,0,0,0,0,6:DN1p,2019-07-02,DD,CT14
20190702_CLK856_DD_CT14_AR20_ACTCGA,0,0,2,0,8:LN_ITP,2019-07-02,DD,CT14
20190702_CLK856_DD_CT14_AR20_CAACTC,0,0,2,0,8:LN_ITP,2019-07-02,DD,CT14
20190702_CLK856_DD_CT14_AR20_CACTCA,0,1,4,0,2:s_LNv,2019-07-02,DD,CT14
20190702_CLK856_DD_CT14_AR20_CATGTC,0,0,1,1,8:LN_ITP,2019-07-02,DD,CT14
20190702_CLK856_DD_CT14_AR20_CTTCAC,0,0,3,0,8:LN_ITP,2019-07-02,DD,CT14
20190702_CLK856_DD_CT14_AR20_GTGATC,0,0,0,0,1:DN1p_CNMa,2019-07-02,DD,CT14
20190702_CLK856_DD_CT14_AR20_TCACAG,4,0,0,0,2:s_LNv,2019-07-02,DD,CT14
20190702_CLK856_DD_CT14_AR20_TCGATC,0,0,0,1,9:LNd_NPF,2019-07-02,DD,CT14
20190702_CLK856_DD_CT14_AR20_TGCATG,0,0,2,0,12:LNd,2019-07-02,DD,CT14
20190702_CLK856_DD_CT14_AR20_TGGTAC,0,0,0,1,19:DN2,2019-07-02,DD,CT14
20190613_CLK856_DD_CT18_AR03_ACAGGA,0,18,0,0,3:DN1a,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR03_ACAGTG,0,1,1,0,2:s_LNv,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR03_ACCAGA,1,0,0,11,6:DN1p,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR03_ACCATG,0,0,10,0,12:LNd,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR03_ACGTAC,1,0,3,0,1:DN1p_CNMa,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR03_ACGTGA,0,1,4,0,2:s_LNv,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR03_AGCTAG,1,0,4,0,5:LNd_Trissin,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR03_AGCTCA,0,0,0,6,7:DN1p,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR03_AGCTTC,1,0,2,0,12:LNd,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR03_AGGAAG,0,0,9,0,9:LNd_NPF,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR03_AGGATC,0,0,0,3,15:DN1p_CNMa,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR03_AGTGTC,0,0,0,2,18:DN1p,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR03_CAACCA,1,0,0,2,15:DN1p_CNMa,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR03_CAACTC,0,0,0,7,18:DN1p,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR03_CACTTC,0,0,3,0,25:l_LNv,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR03_CAGAAG,0,0,0,0,4:DN1p,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR03_CAGACA,1,0,0,2,15:DN1p_CNMa,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR03_CAGATC,0,0,1,0,5:LNd_Trissin,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR03_CATGCA,1,0,0,0,6:DN1p,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR03_CTAGGA,0,0,0,13,7:DN1p,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR03_CTCAAC,0,1,8,0,1:DN1p_CNMa,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR03_CTCAGA,0,0,11,0,9:LNd_NPF,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR03_CTCATG,0,1,0,0,2:s_LNv,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR03_CTTCAC,1,0,0,1,20:DN3,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR03_CTTCGA,0,0,0,0,20:DN3,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR03_CTTCTG,0,0,0,0,1:DN1p_CNMa,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR03_GACAAC,0,0,3,0,4:DN1p,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR03_GACAGA,0,1,1,0,2:s_LNv,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR03_GTACAG,0,0,0,0,4:DN1p,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR03_GTACTC,0,2,0,0,2:s_LNv,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR03_GTCTAG,1,0,0,0,1:DN1p_CNMa,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR03_GTGAAG,1,6,0,0,3:DN1a,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR03_GTGATC,0,0,4,0,8:LN_ITP,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR03_GTTGAG,0,5,0,0,3:DN1a,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR03_TCACAG,1,0,0,0,1:DN1p_CNMa,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR03_TCACCA,0,0,0,0,2:s_LNv,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR03_TCCTTC,0,0,0,4,6:DN1p,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR03_TCTGCA,0,0,1,0,25:l_LNv,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR03_TGAGGA,2,1,1,4,7:DN1p,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR03_TGCATG,1,0,8,0,5:LNd_Trissin,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR03_TGGTAC,0,0,4,0,2:s_LNv,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR03_TGGTTG,0,0,3,0,12:LNd,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR03_TGTCGA,0,0,0,2,18:DN1p,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR07_ACAGAC,0,0,2,1,8:LN_ITP,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR07_ACAGTG,0,0,0,3,18:DN1p,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR07_ACCATG,3,0,0,1,19:DN2,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR07_ACGTAC,0,0,0,3,18:DN1p,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR07_ACGTTG,0,0,4,0,1:DN1p_CNMa,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR07_ACTCAC,1,0,0,3,6:DN1p,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR07_ACTCGA,1,0,5,0,5:LNd_Trissin,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR07_AGACAG,1,0,0,0,15:DN1p_CNMa,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR07_AGCTAG,0,0,0,0,20:DN3,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR07_AGCTTC,0,0,0,5,18:DN1p,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR07_CAACAG,0,0,22,0,9:LNd_NPF,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR07_CAACCA,0,0,0,0,1:DN1p_CNMa,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR07_CAACTC,0,0,0,12,18:DN1p,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR07_CAGACA,0,0,2,3,1:DN1p_CNMa,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR07_CATGAG,0,1,6,0,5:LNd_Trissin,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR07_CATGCA,0,0,2,0,4:DN1p,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR07_CTAGAC,0,0,0,0,4:DN1p,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR07_CTCAGA,0,0,19,0,25:l_LNv,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR07_CTCATG,1,0,29,0,5:LNd_Trissin,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR07_CTGTGA,2,0,0,1,1:DN1p_CNMa,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR07_CTGTTG,0,0,0,0,20:DN3,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR07_CTTCAC,0,1,2,0,2:s_LNv,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR07_CTTCGA,0,0,0,0,1:DN1p_CNMa,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR07_GAAGGA,3,0,0,0,1:DN1p_CNMa,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR07_GAAGTG,0,0,0,5,18:DN1p,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR07_GACAGA,0,0,11,0,12:LNd,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR07_GATCAC,0,0,3,0,12:LNd,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR07_GATCGA,0,2,2,0,3:DN1a,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR07_GATCTG,2,0,0,1,6:DN1p,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR07_GTACCA,0,0,0,0,2:s_LNv,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR07_GTCTAG,0,0,8,0,25:l_LNv,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR07_GTCTTC,3,12,39,0,8:LN_ITP,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR07_GTGACA,0,5,2,0,2:s_LNv,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR07_GTGATC,2,0,7,0,5:LNd_Trissin,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR07_TCACTC,0,0,0,0,18:DN1p,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR07_TCCTCA,0,0,0,8,18:DN1p,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR07_TCCTTC,0,2,0,0,3:DN1a,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR07_TCGAAG,0,5,0,0,2:s_LNv,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR07_TCGACA,0,0,10,0,9:LNd_NPF,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR07_TCGATC,0,0,2,1,2:s_LNv,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR07_TCTGAG,0,0,0,0,5:LNd_Trissin,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR07_TCTGTC,1,0,0,0,1:DN1p_CNMa,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR07_TGAGAC,0,0,1,0,2:s_LNv,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR07_TGAGTG,0,0,0,0,2:s_LNv,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR07_TGTCAC,0,0,0,3,1:DN1p_CNMa,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR08_ACGTAC,0,0,7,0,12:LNd,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR08_ACTCTG,0,0,3,0,4:DN1p,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR08_AGACAG,1,1,0,0,4:DN1p,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR08_AGCTAG,0,6,4,1,2:s_LNv,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR08_AGCTTC,0,0,9,0,12:LNd,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR08_AGGATC,0,0,0,0,6:DN1p,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR08_AGTGTC,0,0,0,1,12:LNd,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR08_CACTCA,0,0,3,0,1:DN1p_CNMa,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR08_CATGAG,1,0,0,0,1:DN1p_CNMa,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR08_CATGCA,0,0,1,0,20:DN3,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR08_CTAGTG,1,0,1,6,6:DN1p,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR08_CTCAAC,1,0,0,19,18:DN1p,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR08_CTGTAC,0,2,1,4,7:DN1p,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR08_CTTCAC,1,0,10,1,12:LNd,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR08_CTTCGA,0,0,0,2,15:DN1p_CNMa,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR08_CTTCTG,0,3,0,0,14:DN3,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR08_GAAGAC,0,0,0,0,1:DN1p_CNMa,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR08_GAAGGA,0,0,0,0,12:LNd,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR08_GAGTAC,0,10,0,0,3:DN1a,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR08_GAGTTG,2,0,0,0,15:DN1p_CNMa,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR08_GATCGA,3,0,2,0,2:s_LNv,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR08_GATCTG,0,0,0,0,20:DN3,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR08_GTACAG,2,0,0,0,2:s_LNv,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR08_GTACCA,0,0,8,0,5:LNd_Trissin,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR08_GTGACA,0,0,0,0,15:DN1p_CNMa,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR08_GTGATC,0,1,0,0,15:DN1p_CNMa,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR08_TCACCA,0,0,1,1,4:DN1p,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR08_TCCTCA,0,3,3,0,2:s_LNv,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR08_TCGAAG,0,3,1,0,3:DN1a,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR08_TCGACA,1,1,0,0,1:DN1p_CNMa,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR08_TCTGCA,0,0,5,0,25:l_LNv,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR08_TGAGTG,2,0,2,0,1:DN1p_CNMa,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR08_TGCAAC,1,0,0,2,6:DN1p,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR08_TGCAGA,0,0,0,0,1:DN1p_CNMa,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR08_TGGTGA,0,0,0,1,1:DN1p_CNMa,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR08_TGGTTG,0,0,3,0,12:LNd,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR08_TGTCGA,0,0,0,5,18:DN1p,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR12_ACAGGA,3,0,5,0,5:LNd_Trissin,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR12_ACAGTG,0,0,6,0,5:LNd_Trissin,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR12_ACTCGA,0,0,1,3,18:DN1p,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR12_AGCTAG,0,13,2,0,2:s_LNv,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR12_AGCTTC,0,0,9,0,12:LNd,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR12_AGGAAG,0,0,0,1,1:DN1p_CNMa,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR12_AGTGCA,0,0,0,0,14:DN3,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR12_CAACCA,0,0,0,2,6:DN1p,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR12_CAGATC,0,0,2,5,6:DN1p,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR12_CATGAG,0,0,0,0,1:DN1p_CNMa,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR12_CATGCA,0,0,0,3,6:DN1p,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR12_CATGTC,0,0,1,9,7:DN1p,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR12_CTAGAC,0,0,0,0,2:s_LNv,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR12_CTAGGA,0,0,34,0,8:LN_ITP,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR12_CTCAAC,0,0,5,0,25:l_LNv,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR12_CTCATG,1,0,2,6,7:DN1p,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR12_CTGTAC,0,1,0,0,2:s_LNv,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR12_CTGTGA,0,1,6,0,9:LNd_NPF,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR12_CTTCAC,1,4,6,0,2:s_LNv,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR12_CTTCGA,0,0,0,0,1:DN1p_CNMa,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR12_GAAGGA,0,9,0,0,3:DN1a,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR12_GAAGTG,2,0,0,0,20:DN3,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR12_GACAGA,0,1,1,0,25:l_LNv,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR12_GATCAC,0,0,4,0,5:LNd_Trissin,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR12_GTCTTC,0,0,65,0,8:LN_ITP,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR12_GTTGAG,0,0,3,0,4:DN1p,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR12_GTTGCA,0,0,0,3,15:DN1p_CNMa,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR12_GTTGTC,1,1,2,0,9:LNd_NPF,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR12_TCCTCA,0,6,3,1,25:l_LNv,2019-06-13,DD,CT18
20190613_CLK856_DD_CT18_AR12_TCGAAG,2,0,0,0,1:DN1p_CNMa,2019-06-13,DD,CT18
